
{SMT_CULTURE_ROMAN}				Roman
{SMT_CHARACTER_PERFORMED_TURNS_ACTION}			The selected character has performed a mission this turn
{SMT_TARGET_TILE_IS_IMPASSABLE}					The target position is invalid for this character type
{SMT_CANNOT_LEAVE_SIEGED_FORT}				Nobody can leave a fort when under siege except to attack the sieging army
{SMT_CANNOT_LEAVE_SIEGED_SETTLEMENT}				Nobody can leave a settlement when under siege except to attack the sieging army
{SMT_CANNOT_LEAVE_ENEMIES_ZOC}				Cannot leave enemy's zone of control
{SMT_CHARACTER_DETAILS}					Character Details
{SMT_ENEMY_CHARACTER_DETAILS}					Enemy Character Details
{SMT_NEUTRAL_CHARACTER_DETAILS}				Neutral Character Details
{SMT_ALLIED_CHARACTER_DETAILS}					Allied Character Details
{SMT_VICES}							Vices
{SMT_FACTION_SUMMARY}						Faction Summary
{SMT_FACTION_LEADER}						Faction leader:
{SMT_HEIRS}							Heirs:
{SMT_REGIONS_GAINED}						Regions Gained:
{SMT_BATTLES_WON}						Battles Won:
{SMT_BATTLES_LOST}						Battles Lost:
{SMT_SHOW_FAMILY_TREE}					Show family tree
{SMT_SHOW_EVENT_LOG}						Show events log
{SMT_FINANCIAL_SUMMARY}					Financial Summary
{SMT_INCOME}							Income
{SMT_EXPENDITURE}						Expenditure
{SMT_FARMING}							Farming
{SMT_RESOURCES}						Resources
{SMT_TRADE}							Trade
{SMT_TAXES}							Taxes
{SMT_WAGES}							Wages
{SMT_PROJECTED_INCOME}						Projected Total Income
{SMT_PROJECTED_EXPENDITURE}					Projected Total Expenditure
{SMT_PROJECTED_PROFIT}						Projected Profits
{SMT_TOTAL_INCOME}						Total Income
{SMT_TOTAL_EXPENDITURE}					Total Expenditure
{SMT_TOTAL_PROFIT}						Profits
{SMT_ARMY_RECRUIT}						Recruitment
{SMT_CONSTRUCTION}						Construction
{SMT_DIPLOMACY}						Diplomacy
{SMT_TRIBUTE}							Tributes
{SMT_OTHER}							Other
{SMT_SENATE_TRANSACTIONS}					Senate Transactions
{SMT_EVENT_LOG}						Event Log
{SMT_OFFICE}							Office
{SMT_CHARACTER}						Character
{SMT_SENATE_OFFICIALS}						Senate Officials
{SMT_SENATE_MISSIONS}						Senate Missions
{SMT_SHOW_SENATE_OFFICES}					Show the senate offices list
{SMT_TIME_REMAINING}						Time Remaining
{SMT_TARGETS}							Targets
{SMT_TARGET}							Target
{SMT_REWARD}							Reward
{SMT_PENALTY}							Penalty
{SMT_SETTLEMENT}						Settlement
{SMT_TRADE_DETAILS}						Trade Details
{SMT_SHOW_TRADE_SUMMARY}					Show trade summary scroll for this settlement
{SMT_RESOURCE_GOLD}						Gold
{SMT_RESOURCE_SILVER}						Silver
{SMT_RESOURCE_IRON}						Iron
{SMT_RESOURCE_POTTERY}						Pottery
{SMT_RESOURCE_FURS}						Furs
{SMT_RESOURCE_GRAIN}						Grain
{SMT_RESOURCE_TIMBER}						Timber
{SMT_RESOURCE_ELEPHANT}					Elephants
{SMT_RESOURCE_CAMEL}						Camels
{SMT_RESOURCE_DOG}						Dogs
{SMT_RESOURCE_PIG}						Pigs
{SMT_RESOURCE_OLIVE_OIL}					Olive Oil
{SMT_RESOURCE_WINE}						Wine
{SMT_RESOURCE_SLAVES}						Slaves
{SMT_RESOURCE_GLASS}						Glass
{SMT_RESOURCE_MARBLE}						Marble
{SMT_RESOURCE_TEXTILES}					Textiles
{SMT_RESOURCE_PURPLE_DYE}					Purple Dye
{SMT_RESOURCE_INCENSE}						Incense
{SMT_RESOURCE_SILK}						Silk
{SMT_RESOURCE_WILD_ANIMALS}					Wild Animals
{SMT_RESOURCE_HIDES}						Hides
{SMT_RESOURCE_TIN}						Tin
{SMT_RESOURCE_COPPER}						Copper
{SMT_RESOURCE_LEAD}						Lead
{SMT_RESOURCE_AMBER}						Amber
{SMT_HARVEST_POOR}						Poor Harvest
{SMT_HARVEST_NORMAL}						Average Harvest
{SMT_HARVEST_GOOD}						Good Harvest
{SMT_HARVEST_EXCELLENT}					Excellent Harvest
{SMT_MINING_INCOME}						Mining Income
{SMT_FARM_INCOME}						Farming Income
{SMT_FIND_SELECTED_CHARACTER}					Locate selected character on the map
{SMT_FAMILY_TREE_TITLE}						Family Tree
{SMT_OWNED_BY}							Owned by:
{SMT_WEAPON_ARMOUR_PIERCING}					Uses armour piercing weaponry
{SMT_WEAPON_BODY_PIERCING}					Uses body piercing weaponry
{SMT_WEAPON_PRECURSOR}					Uses a thrown precursor weapon
{SMT_WEAPON_AREA}						Weapon has an area affect
{SMT_UNIT_IS_GENERAL}						A unit suitable for a general
{SMT_UNIT_IS_COMMAND}						A command unit
{SMT_UNIT_CAN_CONCEAL}						Can hide
{SMT_UNIT_IS_HARDY}						Is hardy
{SMT_UNIT_IS_VERY_HARDY}					Is very hardy
{SMT_UNIT_IS_HEAVY}						Is a heavy unit
{SMT_CAN_DO_TESTUDO}						Can perform testudo formation
{SMT_CAN_DO_PHALANX}						Can perform phalanx formation
{SMT_GOOD_ON_SCRUB}						Is good in scrub
{SMT_GOOD_ON_SAND}						Is good in deserts
{SMT_GOOD_ON_FOREST}						Is good in forests
{SMT_GOOD_ON_SNOW}						Is good in snow
{SMT_BAD_ON_SCRUB}						Is bad in scrub
{SMT_BAD_ON_SAND}						Is bad in deserts
{SMT_BAD_ON_FOREST}						Is bad in forests
{SMT_BAD_ON_SNOW}						Is bad in snow
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_TITLE}		Agent Discovered
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_DESCRIPTION}	We have discovered a treacherous and dangerous spy in this settlement. Is there no honour among our rivals?
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_TITLE}		Agent Betrayed
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_DESCRIPTION}	Our agent has been betrayed to the authorities in this settlement. We must assume that he is dead.
{SMT_APPOINT_TO_GOVERNOR_TITLE}				Governor Appointed
{SMT_APPOINT_TO_GOVERNOR_DESCRIPTION}				This man has been appointed as a new governor.
{SMT_SETTLEMENT_BESIEGE_TITLE}					Settlement Under Siege
{SMT_SETTLEMENT_BESIEGE_DESCRIPTION}				This settlement is currently under siege, and the people are suffering as a result.
{SMT_SETTLEMENT_REVOLT_TITLE}					Settlement in Revolt
{SMT_SETTLEMENT_REVOLT_DESCRIPTION}				The people of this settlement have revolted, showing the depths of their ingratitude and deceit.
{SMT_SETTLEMENT_LOST_TITLE}					Settlement Lost
{SMT_SETTLEMENT_LOST_DESCRIPTION}				We no longer control this settlement, a blow to our wealth and prestige.
{SMT_SETTLEMENT_GAINED_TITLE}					Settlement Gained
{SMT_SETTLEMENT_GAINED_DESCRIPTION}				We have gained control of this settlement, a boon to our prestige and wealth!
{SMT_NAVY_BLOCKADED_TITLE}					Blockade in Place
{SMT_NAVY_BLOCKADED_DESCRIPTION}				Maritime trade is suffering as a result of this blockade.
{SMT_BIRTH_TITLE}						A Birth in the Family
{SMT_BIRTH_DESCRIPTION}						Our faction has been blessed by the arrival of a new child. He will come of age in the fullness of time and add to our glory.
{SMT_ADOPTION_TITLE}						Adoption
{SMT_ADOPTION_DESCRIPTION}					This man has been adopted into our family, and will bring honour and glory to our name through his deeds.
{SMT_COMING_OF_AGE_TITLE}					Coming of Age
{SMT_COMING_OF_AGE_DESCRIPTION}				This man has come of age and is now ready to take up his share of the responsibilities of good government.
{SMT_MARRIAGE_TITLE}						Marriage
{SMT_MARRIAGE_DESCRIPTION}					This man has married, laying the foundations for the future strength of our family.
{SMT_NATURAL_DEATH_TITLE}					Natural Death
{SMT_NATURAL_DEATH_DESCRIPTION}				This man has died of natural causes and gone to join our illustrious ancestors in the afterlife.
{SMT_NEW_FACTION_LEADER_TITLE}					New Faction Leader
{SMT_NEW_FACTION_LEADER_DESCRIPTION}				A new faction leader has emerged and is now in control.
{SMT_NEW_FACTION_HEIR_TITLE}					New Faction Heir
{SMT_NEW_FACTION_HEIR_DESCRIPTION}				A new heir to the faction's leadership has emerged, but let us hope that his succession to power is not imminent.
{SMT_FACTION_DEFEATED_TITLE}					Faction Defeated
{SMT_FACTION_DEFEATED_DESCRIPTION}				This faction has been defeated, and need trouble us no further.
{SMT_UNKNOWN}							Unknown
{SMT_UNKNOWN_UNIT}						Unknown unit type
{SMT_UNKNOWN_BUILDING}						Unknown building type
{SMT_ARMY_BREAKDOWN}						Army Breakdown
{SMT_SHOW_ARMY_DETAILS}					View army details
{SMT_SHOW_VNV_DETAILS}					Show character's vices and virtues
{SMT_TRAITS_UKNOWN}						Traits not known
{SMT_STATUS_UNKNOWN}						Status unknown
{SMT_SPOTTED_BY}						Spotted By:
{SMT_WATCHTOWER}						Watchtower
{SMT_EXCHANGE_COMMANDING_OFFICER}				Cannot transfer the commanding officer of an army.
{SMT_EXCHANGE_NO_MOVEMENT_POINTS}				Not enough movement points for transfer.
{SMT_EXCHANGE_NO_NAVY_PRESENT}				Ship cannot transfer to a land army.
{SMT_EXCHANGE_SELECTED}					Use merge button or drag and drop to transfer card to other panel.
{SMT_EXCHANGE_UNSELECTED}					Select card to transfer to the other panel.
{SMT_EXCHANGE_NO_SELECTION}					Select cards to transfer, use tabs to view different categories.
{SMT_EXCHANGE_MERGE_OK}					Use the merge button to transfer the selected cards between the panels.
{SMT_EXCHANGE_CAPACITY_EXCEEDED}				Selected cards cannot be transferred because capacity will be exceeded. Select cards in both panels to perform a swap.
{SMT_SHOW_MISSION_TARGET}					Show mission target position
{SMT_RALLY_POINTS}						Rally Points
{SMT_RALLY_POINT}						Rally Point
{SMT_CANNOT_MERGE_THIS_UNIT_SELECTION}			This selection of units cannot be merged into the opposite window
{SMT_CANNOT_MERGE_THIS_CHARACTER_SELECTION}			This selection of characters cannot be merged into the opposite window
{SMT_ZOOM_DOWN_TO_CITY}					View settlement on battle map
{SMT_DESTROY_BUILDING}						Destroy Building
{SMT_RETAINERS}							Retainers
{SMT_RETAINERS_UNKNOWN}					Retainers Unknown
{SMT_SUCCESS_RATE}						Success Rate
{SMT_SHOW_CHARACTER_TARGETS}					Show potential character targets
{SMT_SHOW_BUILDING_TARGETS}					Show potential building targets
{SMT_ACCEPT_MISSION}						Accept Mission
{SMT_BUILDING}							Building
{SMT_MILITARY_FORCES}						Military Forces
{SMT_NUM_SOLDIERS}						Soldiers
{SMT_ATTACK}							Attack
{SMT_ATTACK_CHARGE}						Charge
{SMT_ARMOUR}							Armour
{SMT_DEFENCE}							Defence
{SMT_SHIELD}							Shield
{SMT_HP}							Hit Points
{SMT_CREATION_COST}						Recruitment Cost
{SMT_ARMY_STRENGTH_RATIO}					Army Strength Ratio
{SMT_NAVY_STRENGTH_RATIO}					Navy Strength Ratio
{SMT_PROTECTOR}						Protector
{SMT_PROTECTORATES}						Protectorates
{SMT_YOU_ARE_PROTECTOR}					You are protector of this faction
{SMT_ENABLE_AUTO_TRAIN}					Enable Auto Train Units
{SMT_ENABLE_AUTO_CONSTRUCT}					Enable Auto Construct Buildings
{SMT_AUTOMATE_ALL}						Automate All Production
{SMT_AI_SPEND_POLICY}						AI Spend Policy
{SMT_SAVE}							Save
{SMT_SPEND}							Spend
{SMT_CONSTRUCTION_OPTIONS}					Construction Options
{SMT_CONSTRUCTION_QUEUE}					Construction Queue
{SMT_LAND_EXPORTS}						Land Exports
{SMT_SEA_EXPORTS}						Sea Exports
{SMT_IMPORTS}							Imports
{SMT_TRADE_INCOME}						Trade Income
{SMT_RECRUITMENT_QUEUE}					Recruitment Queue
{SMT_DEFENSES}							Defences
{SMT_SIEGE_DETAILS}						Siege Details
{SMT_SETTLEMENT_HAS_FOOD_FOR_X_YEARS}			This settlement has enough food to last %d years
{SMT_FORT_HAS_FOOD_FOR_X_YEARS}				This fort has enough food to last %d years
{SMT_SETTLEMENT_HAS_FOOD_FOR_1_YEAR}				This settlement has enough food to last a year
{SMT_FORT_HAS_FOOD_FOR_1_YEAR}				This fort has enough food to last a year
{SMT_SETTLEMENT_HAS_NO_FOOD}					This settlement has very little food remaining in stores
{SMT_FORT_HAS__NO_FOOD}					This fort has very little food remaining in stores
{SMT_AUTOMANAGE_ALL_TOOLTIP}					Automatically set an ai building assistant for each settlement
{SMT_ALLOW_BUILDING_TOOLTIP}					Allow building assistant to construct buildings
{SMT_ALLOW_TROOP_PRODUCTION_TOOLTIP}				Allow building assistant to recruit troops
{SMT_SPEND_SLIDER_TOOLTIP}					Set the amount of money building assistants are allowed to spend
{SMT_BUILDING_ADVICE}						Ask advisor for recommendation on which building to construct next
{SMT_RECRUITMENT_ADVICE}					Ask advisor for recommendation on which units to recruit next
{SMT_DAMAGE}							Damage
{SMT_INVALID_RALLY_POINT_POSITION}				This is an invalid position for a rally point
{SMT_CANNOT_PERFORM_MISSIONS_WITH_MULTIPLE_CHARACTERS}	Cannot perform missions with multiple characters selected
{SMT_OPEN_MERCENARY_RECRUITMENT}				Open mercenary recruitment scroll for selected army
{SMT_AVAILABLE_MERCENARIES}					Mercenary units available for hire
{SMT_HIRE_ALL_QUEUED_UNITS}					Hire all queued units
{SMT_NO_ROOM_FOR_MERCENARIES}					Cannot hire any more mercenaries as there is no more room in the receiving army
{SMT_NO_MERCENARIES_AVAILABLE}					There are currently no mercenaries available to recruit in this region
{SMT_CANNOT_AFFORD_THIS_MERCENARY}				You cannot afford to hire this mercenary
{SMT_ONLY_FAMILY_CAN_RECRUIT_MERCENARIES}			Only family members can recruit mercenaries
{SMT_ASSISTANCE_REQUESTED}					Assistance Requested
{SMT_WHICH_ALLY}						Allied Army
{SMT_WHICH_ARMY_REQUESTED}					Requested assistance from
{SMT_ACCEPT_ASSISTANCE_REQUEST}				Your ally has requested assistance in a battle. If you accept this request your army will reinforce theirs on the battlefield. Do you wish to accept the request?
{SMT_ATTACKING_THIS_SETTLEMENT_WILL_BREAK_ALLIANCE}		You are currently allied with the faction that owns this settlement.  If you attack now then the alliance will be broken and war will be declared. Are you sure you wish to proceed?
{SMT_ATTACKING_THIS_FORT_WILL_BREAK_ALLIANCE}			You are currently allied with the faction that owns this fort. If you attack now then the alliance will be broken and war will be declared. Are you sure you wish to proceed?
{SMT_ATTACKING_THIS_PORT_WILL_BREAK_ALLIANCE}			You are currently allied with the faction that owns this port. If you attack now then the alliance will be broken and war will be declared. Are you sure you wish to proceed?
{SMT_ATTACKING_THIS_ARMY_WILL_BREAK_ALLIANCE}			You are currently allied with the faction that controls this army. If you attack now then the alliance will be broken and war will be declared. Are you sure you wish to proceed?
{SMT_ATTACKING_THIS_NAVY_WILL_BREAK_ALLIANCE}			You are currently allied with the faction that controls this navy. If you attack now then the alliance will be broken and war will be declared. Are you sure you wish to proceed?
{SMT_CANNOT_ATTACK_ALLY}					You cannot attack Rome yet.You do not have enough popular support to take power.
{SMT_CONFIRM_ATTACK_ON_ALLY}					Attack Ally?
{SMT_YOUR_FORCES}						Your Forces
{SMT_ENEMY_FORCES}						Enemy Forces
{SMT_AI_REINFORCEMENT}						This army will be controlled by the AI
{SMT_REINFORCEMENTS}						Reinforcements:
{SMT_BATTLE_DEPLOYMENT}					Battle Deployment
{SMT_YOUR_ARMY_SALLIES_FORTH}					You sally forth to meet the foe
{SMT_ENEMY_SALLIES_FORTH}					Your enemy have sallied forth to attack
{SMT_RIGHT_CLICK_FOR_CHARACTER_INFO}				Right click on portrait for full character information and army breakdown
{SMT_FIELD_CONSTRUCTION}					Field Construction
{SMT_PROVINCE}							Province:
{SMT_WATCHTOWER_DESCRIPTION}					Watchtowers extend your line of sight over enemy territory
{SMT_FORT_DESCRIPTION}						Forts provide a temporary defence for armies on the move and can be used to defend strategic positions
{SMT_CANNOT_TRANSFER_GENERALS_UNIT}				This unit is the general's bodyguard and cannot be transfered
{SMT_FAMOUS_BATTLE_SITE}					Site of famous battle
{SMT_BATTLE_YEAR}						Year
{SMT_VICTOR}							Victor
{SMT_LOSER}							Loser
{SMT_GAMES_FREQUENCY_YEARLY}					Yearly Games
{SMT_GAMES_FREQUENCY_MONTHLY}				Monthly Games
{SMT_GAMES_FREQUENCY_DAILY}					Daily Games
{SMT_RACES_FREQUENCY_YEARLY}					Yearly Races
{SMT_RACES_FREQUENCY_MONTHLY}					Monthly Races
{SMT_RACES_FREQUENCY_DAILY}					Daily Races
{SMT_GAMES_AND_RACES_FREQUENCY_YEARLY}			Yearly Games & Races
{SMT_GAMES_AND_RACES_FREQUENCY_MONTHLY}			Monthly Games & Races
{SMT_GAMES_AND_RACES_FREQUENCY_DAILY}				Daily Games & Races
{SMT_SHOW_SETTLEMENT_STATS}					Show settlement details
{SMT_AUTOMANAGE}						Automanage
{SMT_SETTLEMENT_STATISTICS}					Settlement Details
{SMT_PUBLIC_ORDER}						Public Order
{SMT_POPULATION_GROWTH}					Population Growth
{SMT_SET_POLICIES}						Set Policies
{SMT_POPULATION_REQUIRED}					Population required for next level of settlement:
{SMT_CONSTRUCTION_TIME}					Construction Time
{SMT_CONSTRUCTION_COST}					Construction Cost
{SMT_ANCILLARIES}						Ancillaries
{SMT_TRAITS}							Traits
{SMT_RECRUITMENT_OPTIONS}					Recruitment Options
{SMT_MEN_IN_GARRISON}						Men in Garrison
{SMT_MEN_IN_ARMY}						Men in Army
{SMT_SELECTED_MERCENARIES}					Selected Mercenaries
{SMT_SHOW_FACTION_RANKINGS}					Show faction rankings scroll
{SMT_FACTION_RANKINGS}						Faction Ranking
{SMT_RANKING_SCORE}						Overall Ranking
{SMT_RANKING_MILITARY}						Military Ranking
{SMT_RANKING_PRODUCTION}					Production Ranking
{SMT_RANKING_REGIONS}						Territorial Ranking
{SMT_RANKING_FINANCIAL}						Financial Ranking
{SMT_RANKING_POPULATION}					Population Ranking
{SMT_FACTION_FILTER}						Faction Filter
{SMT_OWN_FACTION}						Own Faction
{SMT_ALL_FACTIONS}						All Factions
{SMT_TOP_5_FACTIONS}						Top 5 Factions
{SMT_CUSTOM_SELECTION}					Custom Selection
{SMT_FILTER_NEIGHBOURS}						Neighbouring Factions
{SMT_TURNS}							Turns
{SMT_VICTORY}							VICTORY!
{SMT_DEFEAT}							DEFEAT!
{SMT_VICTORY_BODY}						You have won this game! All your people celebrate this victory! Would you like to continue and gain even greater glory?
{SMT_DEFEAT_BODY}						You have failed to reach your victory objectives, but would you like to continue the game anyway?
{SMT_DEFEAT_GAME_OVER}					Your faction has been wiped out. Others will write the histories and claim your accomplishments as their own! Better luck next time!
{SMT_CONTINUE_CAMPAIGN}					Continue Playing?
{SMT_EXIT_CAMPAIGN}						Return to Frontend
{SMT_CAPTURED_SETTLEMENT}					Captured Settlement
{SMT_DENARI_GAINED_FROM_LOOTING}				Denarii gained from looting
{SMT_POPULATION_GAINED_FROM_ENSLAVE}				Population to disperse amongst governed settlements
{SMT_POPULATION_KILLED}						Population to be massacred
{SMT_LOOT_SETTLEMENT}						Occupy Settlement
{SMT_ENSLAVE_POPULACE}						Enslave Populace
{SMT_EXTERMINATE}						Exterminate Populace
{SMT_SETTLEMENT_LOOT_BODY_STRING}				This settlement has fallen to the might of your army. Victory is yours and the fate of the settlement lies in your hands!
{SMT_BUILDINGS_NEEDING_REPAIR}					Buildings Needing Repair
{SMT_SHOW_NEW_BUILDINGS}					Show constructable buildings
{SMT_SHOW_REPAIRABLE_BUILDINGS}				Show buildings in need of repair
{SMT_REPAIR_TIME}						Repair Time
{SMT_REPAIR_COST}						Repair Cost
{SMT_BUILD_POINTS}						Build Points:
{SMT_ALWAYS_SHOW_ADVANCED_STATS}				Always show settlement details
{SMT_ADVANCED_STATS}						Settlement Details
{SMT_SHOW_TECH_TREE}						Show building browser
{SMT_BUILDING_BROWSER}						Building Browser
{SMT_STATE_ICON_FARMING_LEVEL}					Farming level
{SMT_STATE_ICON_FARMS_BUILT}					Farms built
{SMT_STATE_ICON_FOOD_IMPORTS}					Food imports
{SMT_STATE_ICON_HEALTH}					Health
{SMT_STATE_ICON_BUILDINGS}					Buildings
{SMT_STATE_ICON_TAX_RATE_BONUS}				Tax rate bonus
{SMT_STATE_ICON_UNIT_DISBANDS}					Unit disbands
{SMT_STATE_ICON_SLAVERY}					Slavery
{SMT_STATE_ICON_SQUALOUR}					Squalour
{SMT_STATE_ICON_DISASTERS}					Disasters
{SMT_STATE_ICON_UNIT_RECRUITS}					Unit recruits
{SMT_STATE_ICON_TAX_RATE_PENALTY}				Tax rate penalty
{SMT_STATE_ICON_GARRISON}					Garrison
{SMT_STATE_ICON_BUILDINGS_LAW}					Buildings of law and order
{SMT_STATE_ICON_BUILDINGS_FUN}					Buildings of entertainment and fun
{SMT_STATE_ICON_GOVERNORS_INFLUENCE}				Governors influence
{SMT_STATE_ICON_TAX_BONUS}					Tax bonus
{SMT_STATE_ICON_TRIUMPH}					Triumph
{SMT_STATE_ICON_WONDER}					Wonder
{SMT_STATE_ICON_BOOM}						Population boom
{SMT_STATE_ICON_DISTANCE_TO_CAPITAL}				Distance to capital
{SMT_STATE_ICON_CULTURE_PENALTY}				Culture penalty
{SMT_STATE_ICON_NO_GOVERNANCE}				No governance
{SMT_STATE_ICON_TAX_PENALTY}					Tax penalty
{SMT_STATE_ICON_TURMOIL}					Unrest
{SMT_STATE_ICON_UNDERPOPULATION}				Underpopulation
{SMT_STATE_ICON_BESIEGED}					Besieged
{SMT_STATE_ICON_BLOCKADED}					Blockaded
{SMT_STATE_ICON_RECESSION}					Recession
{SMT_STATE_ICON_ENTERTAINED}					Entertained
{SMT_STATE_ICON_FARMS}						Farms
{SMT_STATE_ICON_TAXES}						Taxes
{SMT_STATE_ICON_RESOURCES}					Resources
{SMT_STATE_ICON_TRADE}						Trade
{SMT_STATE_ICON_DIPLOMATIC_INCOME}				Diplomatic income
{SMT_STATE_ICON_DEMOLITION}					Demolition
{SMT_STATE_ICON_LOOTING}					Looting
{SMT_STATE_ICON_ADMIN}						Admin
{SMT_STATE_ICON_WAGES}					Wages
{SMT_STATE_ICON_UPKEEP}					Upkeep
{SMT_STATE_ICON_CONSTRUCTION}					Construction
{SMT_STATE_ICON_RECRUITMENT}					Recruitment
{SMT_STATE_ICON_DIPLOMATIC_OUTGOINGS}				Diplomatic outgoings
{SMT_STATE_ICON_CORRUPTION}					Corruption
{SMT_TECH_TREE_THREAD_ALREADY_BUILT}				This has been constructed
{SMT_TECH_TREE_THREAD_AVAILABLE_TO_BUILD}			This item is available to construct
{SMT_TECH_TREE_THREAD_NOT_AVAILABLE_TO_BUILD}			It is not possible to build this item yet
{SMT_ESPIONAGE_IN_CARTHAGE_TITLE}				Espionage in Carthage
{SMT_A_NEW_RELIGION_TITLE}					A New Religion
{SMT_ERUPTION_AT_ETNA_TITLE}					Eruption at Etna
{SMT_PLAGUE_IN_MACEDONIA_TITLE}				Plague in Macedonia
{SMT_STOIC_PHILOSOPHY_TITLE}					Stoic Philosophy
{SMT_HAND_PUMP_INVENTED_TITLE}					Hand Pump Invented
{SMT_LIBRARIAN_AT_ALEXANDRIA_TITLE}				Librarian at Alexandria
{SMT_GREAT_LIBRARY_COMPLETED_TITLE}				Great Library Completed
{SMT_THROUGH_A_GLASS_CLEARLY_TITLE}				Through a Glass Clearly
{SMT_ARCHIMEDES_SCREW_TITLE}					Archimedes Screw
{SMT_GREEK_LOGIC_TITLE}						Greek Logic
{SMT_STAR_CATALOGUE_TITLE}					Star Catalogue
{SMT_PLAGUE_IN_ALEXANDRIA_TITLE}				Plague in Alexandria
{SMT_RITES_OF_BACCHUS_BANNED_TITLE}				Rites of Bacchus Banned
{SMT_EARTHQUAKE_IN_PONTUS_TITLE}				Earthquake in Pontus
{SMT_CONCRETE_INVENTED_TITLE}					Concrete Invented
{SMT_ERUPTION_AT_VESUVIUS_TITLE}				Eruption at Vesuvius
{SMT_PHILOSOPHY_IS_FOPPISH_TITLE}				Philosophy is for Fops!
{SMT_ASTRONOMY_ADVANCES_TITLE}				Astronomy Advances
{SMT_LEX_AEBUTIA_TITLE}						Lex Aebutia
{SMT_ROMAN_STOICISM_TITLE}					Roman Stoicism
{SMT_LEX_PAPIRA_TITLE}						Lex Papira
{SMT_PLAGUE_IN_ITALY_TITLE}					Plague in Italy
{SMT_VESTAL_VIRGIN_STRUCK_DOWN_TITLE}				Vestal Virgin Struck Down
{SMT_A_NEW_MAN__GAIUS_MARIUS_TITLE}				A New Man: Gaius Marius
{SMT_DE_RERUM_NATURA_TITLE}					De Rerum Natura
{SMT_PLAGUE_IN_ASIA_MINOR_TITLE}				Plague in Asia Minor
{SMT_LEX_POMPEIA_TITLE}						Lex Pompeia
{SMT_DE_MATERIA_MEDICA_TITLE}					De Materia Medica
{SMT_JULIAN_CALENDAR_TITLE}					Julian Calendar
{SMT_EARTHQUAKE_IN_IBERIA_TITLE}				Earthquake in Iberia
{SMT_THE_AENEID_TITLE}						The Aeneid
{SMT_LEX_ADULTERIIS_COERCENDIS_TITLE}				Lex Adulteriis Coercendis
{SMT_TROUBLE_IN_JUDEA_TITLE}					Trouble in Judea
{SMT_LEX_FUFIA_CANINIA_TITLE}					Lex Fufia Caninia
{SMT_ESPIONAGE_IN_CARTHAGE_BODY}				The Romans deny that they sent spies to Carthage to steal the secrets of the highly sought-after purple dye. They point out that the Carthaginians' refusal to share their discovery with the world is bound to lead to spying. The Carthaginians have apprehended two wretched individuals who confessed under only the lightest of torture. Both men have been crucified.
{SMT_A_NEW_RELIGION_BODY}					King Asoka of Mauryan has sent a missionary to the Hellenistic kingdoms, proclaiming His Serene Highness' new state of "Enlightenment" through the teachings of "the Buddha". The missionary is to spread this blissful realisation to those that live in ignorance. Many in Greek lands scratch their heads and wonder what this means...
{SMT_ERUPTION_AT_ETNA_BODY}					The God Vulcan has destroyed the Greek town of Naxos by causing Mount Etna to erupt! Thousands have died beneath the fiery lava.
{SMT_PLAGUE_IN_MACEDONIA_BODY}				A great and terrible plague in Macedonia is threatening to spread southwards into Greece. It is almost certainly caused by the Celts and other barbarians.
{SMT_STOIC_PHILOSOPHY_BODY}					Ariston of Chios begins his teaching of the Stoic way of life. This philosophy derives its name from the from the porch of the Athenian Agora (stoa poikilê). It is here that Stoics first met and propounded their ideas: that emotions like envy or passion arise from false judgements. A person who has attained moral and intellectual perfection will avoid these feelings.
{SMT_HAND_PUMP_INVENTED_BODY}					Archimedes has invented the world's first water pump, that allows water to be raised quickly and easily to where it is needed.
{SMT_LIBRARIAN_AT_ALEXANDRIA_BODY}				Eratosthenes becomes head of the Library in Alexandria. He is a literary scholar and geographer of some talent. Among his other achievements, Eratosthenes will calculate the circumference of the Earth to a high degree of accuracy and be the first to propose using the latitude and longitude system of global positioning.
{SMT_GREAT_LIBRARY_COMPLETED_BODY}				The home to a collection of what will become 800,000 books, the Great Library of Alexandria is at last complete. This is surely the greatest centre of learning in the world, and the works of Plato, Homer, Socrates and Aristotle can be found in the stacks along with works from the greatest Babylonian, Jewish, and Egyptian scholars.
{SMT_THROUGH_A_GLASS_CLEARLY_BODY}				While the Egyptians have made coloured glass for many years, the Carthaginians have perfected a method for making clear glass! The new clear goblets are much prized across the world by people of taste and discernment.
{SMT_ARCHIMEDES_SCREW_BODY}					Archimedes has invented a cunning pump that uses a spiral inside a pipe to lift water. This device enables mines to be drained and irrigation to be carried out efficiently.
{SMT_GREEK_LOGIC_BODY}						The theories of Plato and Aristotle have been synthesised into a new system of thought called 'logic', a philosophy concerned with the principle of reasoning in arguments. As a tool of rational thought, logic allows philosophers to discuss and test ideas with a new and revolutionary thoroughness.
{SMT_STAR_CATALOGUE_BODY}					Eratosthenes completes his catalogue of 675 stars in the heavens and uses an elegant shadow-measuring technique to calculate the size of the Earth (and quite accurately, too).
